FulfuldeNigerNiamey,FulfuldeBurkinaFaso,PulaarFuutaTooro,PulaarFirduKantora,PularFuutaJalon,FulfuldeMaasina,FulfuldeAdamawa,FulfuldeGombe
mi,mi,mi,mi,mi,mi,mi,mi
a,a,a,a,a,a,a,a
ɓe,ɓe,ɓe,ɓe,ɓe,ɓe,ɓe,ɓe
moj,moj,holmo,hombo,hombo,homo,moi,moje
ɗume,ɗume,holɗum,hoɗum,honɗun,hono,ɗume,ɗume
noje,noj,holno,hono,honno,honno,noi,noje
seeɗa,seeɗa,seeɗa,seeɗa,seeɗa,seeɗa,seɗɗa,seɗɗa
goʔo,goʔo,goo,goʔo,goʔo,goʔo,goʔo,goʔo
ɗiɗi,ɗiɗi,ɗiɗi,ɗiɗi,ɗiɗi,ɗiɗi,ɗiɗi,ɗiɗi
tati,tati,tati,tati,tati,tati,tati,tati
naj,naj,naj,nai,naj,nai,nai,naji
ɟoj,ɟoj,ɟoj,ɟowi,ɟowi,ɟoi,ɟoi,ɟowi
mawn,maw,maw,mau,njan,mawn,mau,maw
fam,fam,fam,fam,fan,fam,fam,fam
raɓɓ,raɓɓ,raɓɓ,raɓɓ,raɓɓ,raɓɓ,ramm,ramm
raɓɓ,faaɗ,faaɗ,faaɗ,faaɗ,faaɗ,ɓill,ɓill
sew,sew,sew,seu,sew,sew,sew,sew
debb,debbo,debbo,debbo,debbo,debbo,debbo,debbo
gorko,gorko,gorko,gorko,gorko,gorko,gorko,gorko
gorko,goriiwo,gorko,gorko,moodi,gorko,goriiko,gorko
inna,inna,neene,neene,jumma,inna,daada,inna
baaba,baaba,baaba,baaba,baaben,baba,baaba,baaba
linngu,linngu,liingu,linngu,lingii,liingu,linngu,linngu
foondu,foondu,sonndu,sonndu,soonndu,foondu,soondu,sonndu
ɓoosaaru,"rawandu, ɓoosaaru",rawaandu,rawaandu,rawaandu,"rawandu, ɓosaaru","rawaandu, ɓosaaru",kutiiru
